provider_name,model_name,input_token_price,output_token_price,cached_token_price
openai,gpt-4,0.03,0.06,0.03
openai,gpt-4.1,0.002,0.008,0.0005
openai,gpt-4.1-2025-04-14,0.002,0.008,0.0005
openai,gpt-4.1-mini,0.0004,0.0016,0.0001
openai,gpt-4.1-mini-2025-04-14,0.0004,0.0016,0.0001
openai,gpt-4.1-nano,0.0001,0.0004,0.000025
openai,gpt-4.1-nano-2025-04-14,0.0001,0.0004,0.000025
openai,gpt-4o,0.0025,0.01,0.00125
openai,gpt-4o-search-preview-2025-03-11,0.0025,0.01,0.00125
openai,gpt-4o-search-preview,0.0025,0.01,0.00125
openai,gpt-4.5-preview,0.075,0.15,0.0375
openai,gpt-4.5-preview-2025-02-27,0.075,0.15,0.0375
openai,gpt-4o-audio-preview,0.0025,0.01,0.0025
openai,gpt-4o-audio-preview-2024-12-17,0.0025,0.01,0.0025
openai,gpt-4o-audio-preview-2024-10-01,0.0025,0.01,0.0025
openai,gpt-4o-audio-preview-2025-06-03,0.0025,0.01,0.0025
openai,gpt-4o-mini-audio-preview,0.00015,0.0006,0.00015
openai,gpt-4o-mini-audio-preview-2024-12-17,0.00015,0.0006,0.00015
openai,gpt-4o-mini,0.00015,0.0006,0.000075
openai,gpt-4o-mini-search-preview-2025-03-11,0.00015,0.0006,0.000075
openai,gpt-4o-mini-search-preview,0.00015,0.0006,0.000075
openai,gpt-4o-mini-2024-07-18,0.00015,0.0006,0.000075
openai,gpt-5,0.00125,0.01,0.000125
openai,gpt-5-mini,0.00025,0.002,0.000025
openai,gpt-5-nano,0.00005,0.0004,0.000005
openai,gpt-5-chat,0.00125,0.01,0.000125
openai,gpt-5-chat-latest,0.00125,0.01,0.000125
openai,gpt-5-2025-08-07,0.00125,0.01,0.000125
openai,gpt-5-mini-2025-08-07,0.00025,0.002,0.000025
openai,gpt-5-nano-2025-08-07,0.00005,0.0004,0.000005
openai,codex-mini-latest,0.0015,0.006,0.000375
openai,o1-pro,0.15,0.6,0.15
openai,o1-pro-2025-03-19,0.15,0.6,0.15
openai,o1,0.015,0.06,0.0075
openai,o1-mini,0.0011,0.0044,0.00055
azure,computer-use-preview,0.003,0.012,0.003
openai,o3-deep-research,0.01,0.04,0.0025
openai,o3-deep-research-2025-06-26,0.01,0.04,0.0025
openai,o3-pro,0.02,0.08,0.02
openai,o3-pro-2025-06-10,0.02,0.08,0.02
openai,o3,0.002,0.008,0.0005
openai,o3-2025-04-16,0.002,0.008,0.0005
openai,o3-mini,0.0011,0.0044,0.00055
openai,o3-mini-2025-01-31,0.0011,0.0044,0.00055
openai,o4-mini,0.0011,0.0044,0.000275
openai,o4-mini-deep-research,0.002,0.008,0.0005
openai,o4-mini-deep-research-2025-06-26,0.002,0.008,0.0005
openai,o4-mini-2025-04-16,0.0011,0.0044,0.000275
openai,o1-mini-2024-09-12,0.003,0.012,0.0015
openai,o1-preview,0.015,0.06,0.0075
openai,o1-preview-2024-09-12,0.015,0.06,0.0075
openai,o1-2024-12-17,0.015,0.06,0.0075
openai,chatgpt-4o-latest,0.005,0.015,0.005
openai,gpt-4o-2024-05-13,0.005,0.015,0.005
openai,gpt-4o-2024-08-06,0.0025,0.01,0.00125
openai,gpt-4o-2024-11-20,0.0025,0.01,0.00125
openai,gpt-4o-realtime-preview-2024-10-01,0.005,0.02,0.0025
openai,gpt-4o-realtime-preview,0.005,0.02,0.0025
openai,gpt-4o-realtime-preview-2024-12-17,0.005,0.02,0.0025
openai,gpt-4o-realtime-preview-2025-06-03,0.005,0.02,0.0025
openai,gpt-4o-mini-realtime-preview,0.0006,0.0024,0.0003
openai,gpt-4o-mini-realtime-preview-2024-12-17,0.0006,0.0024,0.0003
openai,gpt-4-turbo-preview,0.01,0.03,0.01
openai,gpt-4-0314,0.03,0.06,0.03
openai,gpt-4-0613,0.03,0.06,0.03
openai,gpt-4-32k,0.06,0.12,0.06
openai,gpt-4-32k-0314,0.06,0.12,0.06
openai,gpt-4-32k-0613,0.06,0.12,0.06
openai,gpt-4-turbo,0.01,0.03,0.01
openai,gpt-4-turbo-2024-04-09,0.01,0.03,0.01
openai,gpt-4-1106-preview,0.01,0.03,0.01
openai,gpt-4-0125-preview,0.01,0.03,0.01
openai,gpt-4-vision-preview,0.01,0.03,0.01
openai,gpt-4-1106-vision-preview,0.01,0.03,0.01
openai,gpt-3.5-turbo,0.0015,0.002,0.0015
openai,gpt-3.5-turbo-0301,0.0015,0.002,0.0015
openai,gpt-3.5-turbo-0613,0.0015,0.002,0.0015
openai,gpt-3.5-turbo-1106,0.001,0.002,0.001
openai,gpt-3.5-turbo-0125,0.0005,0.0015,0.0005
openai,gpt-3.5-turbo-16k,0.003,0.004,0.003
openai,gpt-3.5-turbo-16k-0613,0.003,0.004,0.003
openai,ft:gpt-3.5-turbo,0.003,0.006,0.003
openai,ft:gpt-3.5-turbo-0125,0.003,0.006,0.003
openai,ft:gpt-3.5-turbo-1106,0.003,0.006,0.003
openai,ft:gpt-3.5-turbo-0613,0.003,0.006,0.003
openai,ft:gpt-4-0613,0.03,0.06,0.03
openai,ft:gpt-4o-2024-08-06,0.00375,0.015,0.00375
openai,ft:gpt-4o-2024-11-20,0.00375,0.015,0.00375
openai,ft:gpt-4o-mini-2024-07-18,0.0003,0.0012,0.00015
openai,gpt-4o-transcribe,0.0025,0.01,0.0025
openai,gpt-4o-mini-transcribe,0.00125,0.005,0.00125
openai,gpt-4o-mini-tts,0.0025,0.01,0.0025
azure,gpt-5,0.00125,0.01,0.000125
azure,gpt-5-2025-08-07,0.00125,0.01,0.000125
azure,gpt-5-mini,0.00025,0.002,0.000025
azure,gpt-5-mini-2025-08-07,0.00025,0.002,0.000025
azure,gpt-5-nano-2025-08-07,0.00005,0.0004,0.000005
azure,gpt-5-nano,0.00005,0.0004,0.000005
azure,gpt-5-chat,0.00125,0.01,0.000125
azure,gpt-5-chat-latest,0.00125,0.01,0.000125
azure,gpt-4o-mini-tts,0.0025,0.01,0.0025
azure,gpt-4o-audio-preview-2024-12-17,0.0025,0.01,0.0025
azure,gpt-4o-mini-audio-preview-2024-12-17,0.0025,0.01,0.0025
azure,gpt-4.1,0.002,0.008,0.0005
azure,gpt-4.1-2025-04-14,0.002,0.008,0.0005
azure,gpt-4.1-mini,0.0004,0.0016,0.0001
azure,gpt-4.1-mini-2025-04-14,0.0004,0.0016,0.0001
azure,gpt-4.1-nano,0.0001,0.0004,0.000025
azure,gpt-4.1-nano-2025-04-14,0.0001,0.0004,0.000025
azure,o3-pro,0.02,0.08,0.02
azure,o3-pro-2025-06-10,0.02,0.08,0.02
azure,o3,0.002,0.008,0.0005
azure,o3-2025-04-16,0.01,0.04,0.0025
azure,o3-deep-research,0.01,0.04,0.0025
azure,o4-mini,0.0011,0.0044,0.000275
azure,gpt-4o-mini-realtime-preview-2024-12-17,0.0006,0.0024,0.0003
azure,gpt-4o-realtime-preview-2024-12-17,0.005,0.02,0.0025
azure,gpt-4o-realtime-preview-2024-10-01,0.005,0.02,0.0025
azure,o4-mini-2025-04-16,0.0011,0.0044,0.000275
azure,o3-mini-2025-01-31,0.0011,0.0044,0.00055
azure,gpt-4o-transcribe,0.0025,0.01,0.0025
azure,gpt-4o-mini-transcribe,0.00125,0.005,0.00125
azure,o3-mini,0.0011,0.0044,0.00055
azure,o1-mini,0.00121,0.00484,0.000605
azure,o1-mini-2024-09-12,0.0011,0.0044,0.00055
azure,o1,0.015,0.06,0.0075
azure,o1-2024-12-17,0.015,0.06,0.0075
azure,codex-mini,0.0015,0.006,0.000375
azure,o1-preview,0.015,0.06,0.0075
azure,o1-preview-2024-09-12,0.015,0.06,0.0075
azure,gpt-4.5-preview,0.075,0.15,0.0375
azure,gpt-4o,0.0025,0.01,0.00125
azure,gpt-4o-2024-08-06,0.0025,0.01,0.00125
azure,gpt-4o-2024-11-20,0.00275,0.011,0.00125
azure,gpt-4o-2024-05-13,0.005,0.015,0.005
azure,gpt-4o-mini,0.000165,0.00066,0.000075
azure,gpt-4o-mini-2024-07-18,0.000165,0.00066,0.000075
azure,gpt-4-turbo-2024-04-09,0.01,0.03,0.01
azure,gpt-4-0125-preview,0.01,0.03,0.01
azure,gpt-4-1106-preview,0.01,0.03,0.01
azure,gpt-4-0613,0.03,0.06,0.03
azure,gpt-4-32k-0613,0.06,0.12,0.06
azure,gpt-4-32k,0.06,0.12,0.06
azure,gpt-4,0.03,0.06,0.03
azure,gpt-4-turbo,0.01,0.03,0.01
azure,gpt-4-turbo-vision-preview,0.01,0.03,0.01
azure,gpt-35-turbo-16k-0613,0.003,0.004,0.003
azure,gpt-35-turbo-1106,0.001,0.002,0.001
azure,gpt-35-turbo-0613,0.0015,0.002,0.0015
azure,gpt-35-turbo-0301,0.0002,0.002,0.0002
azure,gpt-35-turbo-0125,0.0005,0.0015,0.0005
azure,gpt-3.5-turbo-0125,0.0005,0.0015,0.0005
azure,gpt-35-turbo-16k,0.003,0.004,0.003
azure,gpt-35-turbo,0.0005,0.0015,0.0005
azure,gpt-3.5-turbo,0.0005,0.0015,0.0005
azure,mistral-large-latest,0.008,0.024,0.008
azure,mistral-large-2402,0.008,0.024,0.008
azure,command-r-plus,0.003,0.015,0.003
azure,grok-3,0.0033,0.0165,0.0033
azure,grok-3-mini,0.000275,0.00138,0.000275
azure,deepseek-r1,0.00135,0.0054,0.00135
azure,deepseek-v3,0.00114,0.00456,0.00114
azure,deepseek-v3-0324,0.00114,0.00456,0.00114
azure,jamba-instruct,0.0005,0.0007,0.0005
azure,jais-30b-chat,3.2,9.71,3.2
azure,mistral-nemo,0.00015,0.00015,0.00015
azure,mistral-medium-2505,0.0004,0.002,0.0004
azure,mistral-large,0.004,0.012,0.004
azure,mistral-small,0.001,0.003,0.001
azure,mistral-small-2503,0.001,0.003,0.001
azure,mistral-large-2407,0.002,0.006,0.002
azure,ministral-3b,0.00004,0.00004,0.00004
azure,llama-3.2-11b-vision-instruct,0.00037,0.00037,0.00037
azure,llama-3.3-70b-instruct,0.00071,0.00071,0.00071
azure,llama-4-scout-17b-16e-instruct,0.0002,0.00078,0.0002
azure,llama-4-maverick-17b-128e-instruct-fp8,0.00141,0.00035,0.00141
azure,llama-3.2-90b-vision-instruct,0.00204,0.00204,0.00204
azure,meta-llama-3-70b-instruct,0.0011,0.00037,0.0011
azure,meta-llama-3.1-8b-instruct,0.0003,0.00061,0.0003
azure,meta-llama-3.1-70b-instruct,0.00268,0.00354,0.00268
azure,meta-llama-3.1-405b-instruct,0.00533,0.016,0.00533
azure,phi-4-mini-instruct,0.000075,0.0003,0.000075
azure,phi-4-multimodal-instruct,0.00008,0.00032,0.00008
azure,phi-4,0.000125,0.0005,0.000125
azure,phi-3.5-mini-instruct,0.00013,0.00052,0.00013
azure,phi-3.5-vision-instruct,0.00013,0.00052,0.00013
azure,phi-3.5-moe-instruct,0.00016,0.00064,0.00016
azure,phi-3-mini-4k-instruct,0.00013,0.00052,0.00013
azure,phi-3-mini-128k-instruct,0.00013,0.00052,0.00013
azure,phi-3-small-8k-instruct,0.00015,0.0006,0.00015
azure,phi-3-small-128k-instruct,0.00015,0.0006,0.00015
azure,phi-3-medium-4k-instruct,0.00017,0.00068,0.00017
azure,phi-3-medium-128k-instruct,0.00017,0.00068,0.00017
mistral,mistral-tiny,0.00025,0.00025,0.00025
mistral,mistral-small,0.0001,0.0003,0.0001
mistral,mistral-small-latest,0.0001,0.0003,0.0001
